Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,8.2,8.17,8.25,8.12,8.52M,0.61%
12/30/2024,8.15,8.14,8.18,8.08,5.33M,0.00%
12/27/2024,8.15,8.04,8.15,8.04,7.74M,1.37%
12/26/2024,8.04,7.98,8.06,7.98,10.09M,0.88%
12/24/2024,7.97,7.99,8.05,7.95,7.25M,0.25%
12/23/2024,7.95,7.98,8.02,7.94,13.71M,0.00%
12/20/2024,7.95,8.02,8.05,7.95,24.60M,-1.12%
12/19/2024,8.04,7.96,8.06,7.96,18.78M,0.25%
12/18/2024,8.02,8.04,8.07,8.01,9.53M,-0.25%
12/17/2024,8.04,8.11,8.13,8.04,22.15M,-0.74%
12/16/2024,8.1,8.13,8.14,8.09,16.36M,-0.37%
12/13/2024,8.13,8.17,8.18,8.1,13.76M,0.00%
12/12/2024,8.13,8.08,8.16,8.08,9.34M,0.25%
12/11/2024,8.11,7.98,8.13,7.96,16.24M,0.00%
12/10/2024,8.11,8.2,8.22,8.11,11.78M,-0.86%
12/9/2024,8.18,8.15,8.18,8,26.75M,0.12%
12/6/2024,8.17,8.15,8.2,8.15,16.71M,-0.24%
12/5/2024,8.19,8.25,8.25,8.17,17.13M,-0.12%
12/4/2024,8.2,8.18,8.22,8.15,24.62M,-0.12%
12/3/2024,8.21,8.22,8.25,8.2,22.45M,0.00%
12/2/2024,8.21,8.26,8.34,8.21,17.95M,-0.48%
11/29/2024,8.25,8.23,8.29,8.23,28.88M,0.00%
11/28/2024,8.25,8.4,8.4,8.25,21.37M,-1.43%
11/27/2024,8.37,8.39,8.4,8.34,26.28M,0.24%
11/26/2024,8.35,8.38,8.4,8.31,23.17M,-0.36%
11/25/2024,8.38,8.21,8.47,8.21,82.00M,1.95%
11/22/2024,8.22,8.27,8.29,8.2,12.05M,0.12%
11/21/2024,8.21,8.25,8.27,8.21,17.26M,0.00%
11/20/2024,8.21,8.22,8.23,8.16,17.17M,-0.36%
11/19/2024,8.24,8.18,8.27,8.14,12.68M,0.37%
11/18/2024,8.21,8.19,8.25,8.18,20.96M,0.24%
11/15/2024,8.19,8.2,8.25,8.16,19.90M,-0.12%
11/14/2024,8.2,8.28,8.3,8.15,25.97M,0.00%
11/13/2024,8.2,8.2,8.25,8.17,12.83M,0.00%
11/12/2024,8.2,8.2,8.3,8.16,12.09M,0.49%
11/11/2024,8.16,8.25,8.3,8.13,12.62M,-0.73%
11/8/2024,8.22,8.21,8.28,8.15,8.43M,0.49%
11/7/2024,8.18,8.25,8.28,8.16,22.24M,-0.24%
11/6/2024,8.2,8.13,8.2,8.12,18.27M,0.99%
11/5/2024,8.12,8,8.15,7.99,18.52M,1.00%
11/4/2024,8.04,8,8.12,7.95,19.93M,1.13%
11/1/2024,7.95,7.8,7.96,7.76,23.67M,-0.50%
10/30/2024,7.99,8.09,8.12,7.98,30.96M,-1.24%
10/29/2024,8.09,8.05,8.12,8,21.31M,0.87%
10/28/2024,8.02,8.14,8.22,8.02,30.49M,-1.23%
10/25/2024,8.12,8.14,8.15,8.1,11.58M,-0.12%
10/24/2024,8.13,8.15,8.2,8.13,13.54M,-0.61%
10/23/2024,8.18,8.16,8.21,8.14,12.46M,0.25%
10/22/2024,8.16,8.2,8.21,8.14,18.02M,-0.49%
10/21/2024,8.2,8.19,8.24,8.16,16.87M,0.61%
10/18/2024,8.15,8.16,8.23,8.15,11.20M,-0.12%
10/17/2024,8.16,8.17,8.19,8.14,14.66M,0.12%
10/16/2024,8.15,8.26,8.26,8.15,17.50M,-1.21%
10/15/2024,8.25,8.27,8.28,8.23,24.37M,0.00%
10/14/2024,8.25,8.25,8.31,8.21,21.51M,0.36%
10/11/2024,8.22,8.09,8.22,8.08,22.29M,1.73%
10/10/2024,8.08,8.06,8.18,8.04,19.24M,0.62%
10/9/2024,8.03,7.93,8.06,7.93,13.28M,0.88%
10/8/2024,7.96,7.92,7.99,7.91,37.34M,0.00%
10/7/2024,7.96,7.92,7.97,7.84,16.34M,0.51%
10/4/2024,7.92,7.98,8,7.84,29.25M,-0.88%
10/3/2024,7.99,8,8.02,7.86,42.53M,0.13%
10/2/2024,7.98,8.03,8.03,7.92,48.02M,-1.36%
10/1/2024,8.09,8.03,8.12,8.02,23.45M,0.50%
9/30/2024,8.05,8.24,8.24,7.98,33.85M,-2.31%
9/27/2024,8.24,8.29,8.29,8.18,12.24M,-0.48%
9/26/2024,8.28,8.29,8.3,8.24,30.80M,0.00%
9/25/2024,8.28,8.3,8.32,8.25,28.04M,-0.12%
9/24/2024,8.29,8.35,8.38,8.28,35.54M,-0.60%
9/23/2024,8.34,8.44,8.5,8.31,31.90M,-1.18%
9/20/2024,8.44,8.36,8.5,8.35,59.44M,1.81%
9/19/2024,8.29,8.34,8.35,8.26,41.38M,-0.48%
9/18/2024,8.33,8.36,8.43,8.22,30.43M,-0.36%
9/17/2024,8.36,8.19,8.44,8.17,35.04M,2.45%
9/13/2024,8.16,8.09,8.2,7.96,38.05M,0.37%
9/12/2024,8.13,8.22,8.31,8.12,41.75M,-0.85%
9/11/2024,8.2,8.41,8.41,8.19,50.64M,-2.59%
9/10/2024,8.42,8.21,8.42,8.18,38.59M,2.54%
9/9/2024,8.21,8.09,8.24,8.04,26.14M,1.47%
9/6/2024,8.09,8.23,8.23,8.06,23.65M,-0.73%
9/5/2024,8.15,8.23,8.3,8.12,33.75M,0.12%
9/4/2024,8.14,8.03,8.16,7.99,26.93M,-0.48%
9/3/2024,8.18,8.23,8.25,8.06,17.67M,-0.60%
9/2/2024,8.23,8.19,8.32,8.19,39.99M,1.22%
8/30/2024,8.13,7.94,8.2,7.9,46.34M,2.50%
8/29/2024,7.93,8.21,8.37,7.92,42.46M,-4.53%
8/28/2024,8.31,7.92,8.31,7.9,46.04M,5.67%
8/27/2024,7.86,7.83,7.89,7.79,26.96M,0.51%
8/26/2024,7.82,7.83,7.87,7.75,34.75M,0.00%
8/23/2024,7.82,7.82,7.85,7.71,21.18M,0.00%
8/22/2024,7.82,7.85,7.86,7.69,15.53M,0.00%
8/21/2024,7.82,7.79,7.9,7.79,18.66M,0.51%
8/20/2024,7.78,7.9,7.96,7.68,46.29M,-1.51%
8/19/2024,7.9,7.59,7.93,7.59,40.88M,4.05%
8/16/2024,7.59,7.54,7.63,7.53,16.07M,1.73%
8/15/2024,7.47,7.35,7.55,7.34,22.06M,1.62%
8/14/2024,7.35,7.36,7.38,7.33,6.44M,-0.13%
8/13/2024,7.36,7.28,7.36,7.28,16.01M,0.82%
8/12/2024,7.3,7.24,7.34,7.24,18.71M,0.82%
8/9/2024,7.24,7.34,7.38,7.22,18.46M,0.00%
8/8/2024,7.24,7.24,7.28,7.19,20.49M,-0.41%
8/7/2024,7.27,7.16,7.32,7.12,20.60M,1.81%
8/6/2024,7.14,6.93,7.21,6.8,25.84M,2.71%
8/5/2024,6.95,7.26,7.28,6.89,57.17M,-5.27%
8/2/2024,7.34,7.34,7.36,7.28,23.91M,-0.40%
8/1/2024,7.37,7.37,7.44,7.26,24.53M,0.00%
7/31/2024,7.37,7.17,7.45,7.15,28.41M,3.05%
7/30/2024,7.15,7.16,7.22,7.14,25.10M,-0.41%
7/29/2024,7.18,7.13,7.18,7.11,16.06M,0.98%
7/26/2024,7.11,7.13,7.14,7.09,11.66M,-0.28%
7/25/2024,7.13,7.14,7.14,7.08,14.83M,-0.14%
7/24/2024,7.14,7.19,7.19,7.08,17.09M,0.00%
7/23/2024,7.14,7.04,7.19,7.04,14.23M,1.12%
7/22/2024,7.06,7.09,7.11,7.02,20.29M,-0.42%
7/19/2024,7.09,7.09,7.11,7.05,18.25M,0.00%
7/18/2024,7.09,7.1,7.12,7.05,6.63M,0.14%
7/17/2024,7.08,7.11,7.14,7.06,16.48M,-0.14%
7/16/2024,7.09,7.14,7.19,7.06,27.59M,-0.42%
7/15/2024,7.12,7.07,7.15,7.06,11.59M,0.70%
7/12/2024,7.07,7.04,7.09,7,14.67M,0.56%
7/11/2024,7.03,7.04,7.18,7.01,28.82M,0.00%
7/10/2024,7.03,6.92,7.04,6.91,36.28M,1.72%
7/9/2024,6.91,6.93,6.96,6.87,32.75M,0.29%
7/5/2024,6.89,6.94,6.94,6.85,11.46M,-0.71%
7/4/2024,6.94,6.9,6.95,6.9,25.49M,0.57%
